a1
a2
a3
a4
a5
ai1
ai2
ai3
ai4
ai5
an1
an2
an3
an4
an5
ang1
ang2
ang3
ang4
ang5
ao1
ao2
ao3
ao4
ao5
b
bi
bu
c
ch
chu
cu
d
di
du
e1
e2
e3
e4
e5
ei1
ei2
ei3
ei4
ei5
(e)n1
(e)n2
(e)n3
(e)n4
(e)n5
(e)ng1
(e)ng2
(e)ng3
(e)ng4
(e)ng5
f
fu
g
gu
h
hu
ji
ju
k
ku
l
li
lu
lü
m
mi
mu
n
ni
nu
nü
Ø
o1
Ø1
o2
Ø2
o3
Ø3
o4
Ø4
o5
Ø5
ou1
ou2
ou3
ou4
ou5
p
pi
pu
qi
qu
r
ru
s
sh
shu
su
t
ti
tu
w
xi
xu
y
yu
z
zh
zhu
zu
